fips,opioid_presc_rate,total_population,average_household_size,percent_grad_high_school,median_household_income,perc_male,perc_foreign_born,poverty_population,f,overdose_death_rate_2
1125,111.2,200458,2.75,0.8700479497354497,46565,0.48279938939827793,0.035109599018248214,36274,16,15.05
1127,235.4,65923,2.54,0.7832306818678199,35843,0.48561200188098236,0.013394414695933134,14598,28,27.05
1129,44.3,16997,2.75,0.8051790059089329,42811,0.4994999117491322,0.007177737247749603,3200,8,7.05
1131,66.4,11235,2.86,0.7736180564941209,23750,0.4785046728971963,0,4126,10,9.05
1133,172.5,24130,2.53,0.7438989044113384,33194,0.492167426440116,0.012225445503522586,5157,14,13.05
5001,129.1,18731,2.39,0.8212713369892639,36411,0.47707009769900166,0.020180449522182477,3705,12,11.05
5003,115.8,21229,2.52,0.8490004841945078,34263,0.4797682415563616,0.023882424984690752,4352,16,15.05
5005,142.7,41040,2.23,0.8743830600222895,35396,0.482724171539961,0.02387914230019493,6452,26,25.05
5007,87.8,238198,2.75,0.8679201244813278,56239,0.4944667881342413,0.11411514790216543,28804,14,13.05
5009,156.4,37227,2.45,0.8578102077059686,39251,0.4872270126521073,0.011926827302764122,6465,18,17.05
5011,116.5,11206,2.39,0.7951366191659041,33701,0.4938425843298233,0.06505443512404069,3218,14,13.05
5013,83.6,5245,2.4,0.8072805139186295,36899,0.5132507149666349,0.006101048617731172,907,20,19.05
5015,89.2,27635,2.49,0.8317761833479586,36897,0.4897774561244798,0.08225076895241541,5001,22,21.05
5017,77.7,11353,2.36,0.7891234804862444,28913,0.49123579670571654,0.028891042015326347,3385,18,17.05
5019,100.9,22751,2.28,0.8683811257775755,35031,0.4740890510307239,0.027427365830073405,4716,10,9.05
5021,134.6,15400,2.31,0.7861197582860282,32552,0.49272727272727274,0.013051948051948052,3324,16,15.05
5023,115.9,25711,2.5,0.8500662954123575,42905,0.4994749329080938,0.013885107541519195,3676,16,15.05
5025,1.1,8510,2.53,0.8622360678435445,43158,0.49753231492361927,0.016333725029377202,1751,14,13.05
5027,106.6,24327,2.37,0.8415802075019952,36619,0.47556213260985736,0.03198092654252477,5823,12,11.05
5029,131.7,21110,2.49,0.8429883311468619,37732,0.49009947891994315,0.021127427759355756,4709,20,19.05
5031,157.3,101409,2.52,0.8752958027151575,42475,0.4867615300417123,0.03752132453726987,19715,18,17.05
5033,158,61748,2.58,0.8552214804346767,41268,0.49020211180928935,0.041977068083176784,11304,22,21.05
5035,108.7,49765,2.67,0.8105776323807691,38004,0.47185773133728526,0.016537727318396464,11802,12,11.05
5037,120.3,17467,2.49,0.8013698630136986,38103,0.47999083986946817,0.006240338924829679,3461,16,15.05
5039,101.6,7868,2.26,0.8307378568780126,34084,0.492755465175394,0.027961362480935434,1141,10,9.05
5041,143.8,12379,2.33,0.7745325675180251,27197,0.4637692866952096,0.02738508764843687,4029,16,15.05
5043,131.8,18740,2.43,0.8260309278350515,32819,0.49172892209178226,0.016435432230522944,5023,16,15.05
5045,97.9,119343,2.65,0.90862358809064,51223,0.49008320555038837,0.02923506196425429,17768,14,13.05
5047,22.2,17866,2.58,0.8211066082209908,39285,0.492387775663271,0.012369864547184596,3854,24,23.05
