fips,opioid_presc_rate,total_population,average_household_size,percent_grad_high_school,median_household_income,perc_male,perc_foreign_born,poverty_population,f,overdose_death_rate_2
18001,63.8,34642,2.8,0.8518075745983168,48188,0.4936781940996478,0.007880607355233531,5529,12,11.05
18003,76,363453,2.55,0.8930804126540378,49092,0.48782373511843347,0.06374139159671265,56542,12,11.05
18005,93.5,79488,2.57,0.9026259838114066,55050,0.4973580917874396,0.0847926731078905,10027,18,17.05
18007,20.8,8752,2.52,0.889511201629328,47046,0.49897166361974404,0.023651736745886654,1181,20,19.05
18009,83.3,12476,2.35,0.8552465957203341,38190,0.4933472266752164,0.009458159666559794,1700,28,27.05
18011,66.7,60511,2.61,0.9333801017212437,67552,0.4957280494455554,0.03579514468443754,3498,12,11.05
18013,39.7,15011,2.44,0.8978796665458499,54615,0.5010325761108521,0.015055625874358804,1865,20,19.05
18015,30.6,20014,2.55,0.879837067209776,52005,0.4970020985310283,0.026931148196262616,2149,14,13.05
18017,69.9,38476,2.57,0.828353587738989,42290,0.500129951138372,0.09273313234223932,5884,8,7.05
18019,104.8,113181,2.59,0.8722987513369328,51699,0.49079792544685064,0.03340666719679098,12009,20,19.05
18021,94.8,26686,2.54,0.872936660268714,47602,0.49010717230008244,0.002585625421569362,3807,16,15.05
18023,70,32835,2.76,0.8625517465928648,48478,0.4923100350236029,0.06167199634536318,4504,18,17.05
18025,51.8,10591,2.56,0.8236567871159832,38695,0.5048626192049853,0.0035879520347464828,2166,24,23.05
18027,80.8,32411,2.78,0.748357555245869,47342,0.5008176236462929,0.023479682823732684,4192,14,13.05
18029,88.8,49679,2.63,0.9040011768167108,58680,0.498520501620403,0.013325550031200306,4553,20,19.05
18031,72.9,26240,2.57,0.8859022343200635,49799,0.4948551829268293,0.021684451219512194,3647,18,17.05
18033,69.1,42449,2.58,0.8808177777777778,48341,0.4978209145091757,0.013262974392800773,6107,14,13.05
18035,99.4,117335,2.4,0.8867775918086049,38830,0.47977159415349213,0.021110495589551286,24209,22,21.05
18037,102.7,42291,2.55,0.8790653615408904,53513,0.4992315149795465,0.04679482632238538,4071,10,9.05
18039,73,200685,2.8,0.8077916742381747,47913,0.4941824251937115,0.08277150758651618,31601,10,9.05
18041,115.6,23773,2.5,0.8041205969427829,39379,0.494131998485677,0.005300130400033651,4806,26,25.05
18043,131.9,75900,2.57,0.8921193275677777,54914,0.48476943346508566,0.02559947299077734,9530,18,17.05
18045,117,16888,2.4,0.8766300617707619,46760,0.5010066319279962,0.013678351492183799,1992,14,13.05
18047,50.3,22935,2.57,0.8692886061307113,51748,0.4990625681273163,0.007325049051667757,2413,22,21.05
18049,94.4,20527,2.55,0.852548066614252,45332,0.4996346275636966,0.029960539776879232,3011,14,13.05
18051,92.8,33668,2.51,0.8975872016784684,48303,0.5006237376737555,0.009177854342402281,3675,12,11.05
18053,104.2,68896,2.39,0.8631018415797648,40294,0.4788376683697167,0.01699663260566651,11829,22,21.05
18055,94,32815,2.54,0.8555809256169316,45397,0.49666311138198993,0.004601554167301539,4398,20,19.05
18057,50.6,296635,2.73,0.9614179088831583,86222,0.4884723650277277,0.07471134559306893,13889,10,9.05
18059,76.8,71328,2.68,0.9400640093104452,66606,0.48935901749663524,0.014608568864961867,4583,18,17.05
18061,91.7,39230,2.67,0.8779033386093422,52128,0.499923527912312,0.010935508539383125,5392,12,11.05
18063,73,153435,2.76,0.9376914915768495,70163,0.49855639195750645,0.04300192263825073,7514,12,11.05
18065,97.4,49146,2.54,0.8653630158684446,41855,0.5162373336588939,0.0091767386969438,7465,30,29.05
18067,122.7,82765,2.37,0.8808171137997545,44226,0.4822811574941098,0.02124086268350148,14445,26,25.05
18069,78.7,36863,2.44,0.8974255670601506,46945,0.49144128258687575,0.015299894202859236,4241,16,15.05
18071,90.1,43471,2.57,0.8750808620748357,47000,0.49948241356306505,0.044719468151181246,6297,18,17.05
18073,122.5,33448,2.71,0.8792500794407372,55374,0.4960236785458024,0.025681655106433866,2710,14,13.05
18075,89.2,21255,2.58,0.8410919540229885,41021,0.4913196894848271,0.01265584568336862,3400,18,17.05
18077,113.9,32453,2.37,0.8665817255187477,45718,0.4786922626567652,0.015468523711213138,4343,14,13.05
18079,98.2,28113,2.62,0.8385319137552832,44736,0.5027567317611069,0.008252409917120193,4390,20,19.05
18081,84.1,145645,2.69,0.9201769911504425,62147,0.49208692368430085,0.03932163822994267,14205,16,15.05
18083,129.6,38062,2.4,0.8795112933043967,42725,0.5061215910882245,0.01011507540328937,5630,16,15.05
18085,74.1,77983,2.58,0.8536908566528958,52821,0.4984419681212572,0.04013695292563764,8645,12,11.05
18087,23.1,38084,3.22,0.6300433939617763,49964,0.5050152294927004,0.019982144732696144,4909,6,5.05
18089,82.8,491596,2.65,0.8720720001718967,50135,0.4835515341866085,0.0684444137055631,87203,8,7.05
18091,105.9,111280,2.38,0.8661939882564906,46872,0.5173885693745507,0.03182961897915169,17792,14,13.05
18093,132.8,45814,2.44,0.873382913567902,45875,0.49410660496791375,0.014384249356092024,5850,16,15.05
18095,110.1,130280,2.41,0.872847711660273,44195,0.5005219527172244,0.01723211544365981,21089,30,29.05
18097,72.4,926335,2.5,0.8504356877767077,42168,0.48186887033308684,0.08325281890460795,191309,20,19.05
18099,89.2,46962,2.67,0.8451899103066411,48485,0.49689110344533877,0.04524935053873345,5594,12,11.05
18101,108.8,10262,2.42,0.8303183284251858,44589,0.5043851101149873,0.0045800038978756575,1320,14,13.05
18103,67.3,36211,2.6,0.8472406181015453,45184,0.5380133108723868,0.010079810002485432,5174,12,11.05
18105,71.5,142404,2.36,0.9235544474665055,42404,0.49738771382826324,0.082301058959018,31707,18,17.05
18107,98.6,38172,2.52,0.8840369134105636,48213,0.5076495860840406,0.02910510321701771,5153,20,19.05
18109,110.9,69403,2.68,0.882612570555532,55432,0.4947624742446292,0.013183868132501476,8237,20,19.05
18111,25.8,14057,2.56,0.8602052219851671,46895,0.5050864338052216,0.027530767589101515,1892,16,15.05
18113,77,47546,2.58,0.8433122241412396,49331,0.5011147099650864,0.0417700752955033,5665,12,11.05
18115,4.1,6033,2.5,0.8735501478280646,48780,0.4997513674788662,0,470,26,25.05
18117,105.9,19725,2.54,0.8296494753293145,39812,0.4959695817490494,0.012015209125475285,3403,14,13.05
18119,74.7,21192,2.46,0.8331100991159925,43948,0.5051434503586258,0.006370328425821065,3172,16,15.05
18121,41.1,17107,2.58,0.8542184651085696,40781,0.4733734728473724,0.010346641725609399,2486,14,13.05
18123,105.8,19414,2.42,0.8569964120963608,47470,0.5360564541052848,0.009580714947975688,2276,14,13.05
18125,94.6,12687,2.49,0.8634287623927815,44399,0.5023252147867896,0.002601087727595176,1243,14,13.05
18127,89.9,166570,2.62,0.9193776772435412,63926,0.49203337936002883,0.03958095695503392,18850,16,15.05
18129,55.7,25567,2.51,0.9341008336641524,58101,0.49704697461571556,0.005866937849571713,2801,12,11.05
18131,71.5,13047,2.48,0.8609234857712325,43836,0.5076262742392887,0.006974783475128382,1808,22,21.05
18133,78.8,37650,2.52,0.8792552114956487,51355,0.530332005312085,0.015086321381142099,3245,12,11.05
18135,77.2,25596,2.39,0.8551441733492579,40810,0.48784966401000157,0.010978277855914986,4522,16,15.05
18137,107.8,28612,2.58,0.8720563117851043,51170,0.49154201034530964,0.01712568153222424,2403,18,17.05
18139,79.2,16991,2.42,0.8575835475578406,45121,0.49520334294626567,0.009946442234123947,2946,16,15.05
18141,81.3,267246,2.5,0.8798465757228644,45471,0.4844113663066987,0.06078294904320364,45532,14,13.05
18143,149,23783,2.61,0.8299495508797834,44442,0.4913173275028382,0.014674347222806207,4148,NA,NA
18145,78.2,44441,2.54,0.8718479117415288,53584,0.4927656893409239,0.020949123557075674,5302,18,17.05
18147,39.5,20856,2.58,0.8895722479441642,55247,0.5061852704257768,0.017021480629075565,2213,14,13.05
18149,114.9,23117,2.62,0.8229746835443038,42208,0.4929272829519401,0.019033611627806375,3682,NA,NA
18151,82.3,34267,2.44,0.8955533468735145,48472,0.5071643271952607,0.018618495929027926,3542,10,9.05
18153,97.9,21111,2.47,0.8567625133120341,45023,0.5466344559708209,0.009094784709393207,3534,24,23.05
18155,45.6,10500,2.55,0.8432317505315379,44061,0.5183809523809524,0.014285714285714285,2022,24,23.05
18157,71.4,180952,2.46,0.9028058835966052,45932,0.5104447588310712,0.11073654891905035,36902,16,15.05
18159,59,15573,2.4,0.8838903560695747,51613,0.4993257561163552,0.013420663969691132,1529,22,21.05
18161,56.3,7299,2.44,0.8799113439451944,44277,0.5043156596794082,0.006576243321002877,754,26,25.05
18163,137.8,181305,2.35,0.8993042149622534,43046,0.4835001792559499,0.026441631504922646,28870,24,23.05
18165,92.2,15860,2.39,0.8887987744435433,43600,0.49085750315258514,0.00832282471626734,1996,18,17.05
18167,103.8,108268,2.45,0.8737118231216039,40313,0.5075553256733292,0.03236413344663243,20245,18,17.05
18169,94.2,32358,2.36,0.8814196999229409,45649,0.49119228629705175,0.011310958650101984,4373,22,21.05
18171,–,8367,2.5,0.8879150514073825,56042,0.4970718298075774,0.0063344089876897335,740,16,15.05
18173,83.4,60995,2.63,0.9316012725344645,62185,0.49464710222149355,0.026838265431592755,5926,10,9.05
18175,74.3,27930,2.62,0.8405965728792045,41289,0.49649122807017543,0.0051915503043322596,4190,18,17.05
18177,101.5,67866,2.4,0.8402692382370073,38494,0.48513246692010725,0.02127722276250258,13732,24,23.05
18179,75.5,27796,2.52,0.9071801984423343,51101,0.4932004604979134,0.014678370988631458,3306,14,13.05
18181,83,24388,2.53,0.8954263935207242,52154,0.49643267180580614,0.03915860259143841,2309,16,15.05
18183,93.7,33330,2.5,0.9078359190113069,54389,0.5000600060006001,0.008730873087308732,2633,12,11.05
20001,94.7,13081,2.39,0.9058356940509915,38698,0.4923935478938919,0.0064215274061616085,2257,22,21.05
20003,1.1,7896,2.37,0.9062266964951529,40696,0.496580547112462,0.0048125633232016215,1362,18,17.05
20005,104.6,16633,2.53,0.9278817733990148,43581,0.4795887693140143,0.01064149582155955,2970,14,13.05
20007,4.3,4770,2.38,0.9161213563355146,51811,0.5023060796645702,0.013836477987421384,511,24,23.05
20009,103.6,27399,2.38,0.8612621519195913,44013,0.48567465965911166,0.049271871236176504,4261,10,9.05
20011,116.7,14812,2.54,0.8942418225519908,38280,0.49446394815014855,0.01674318120442884,2757,20,19.05
20013,47.7,9880,2.38,0.926800119510009,43724,0.48663967611336034,0.01082995951417004,1598,20,19.05
20015,96.6,66092,2.63,0.9288802673709304,58897,0.502209041941536,0.02590328632814864,6620,16,15.05
20017,–,2722,2.34,0.9015544041450777,38707,0.4952240999265246,0.01763409257898604,360,8,7.05
20019,14.3,3520,2.21,0.8610675039246468,37993,0.5125,0.003125,579,24,23.05
20021,42.6,20952,2.59,0.8702566964285714,41388,0.49336578846888124,0.013697976326842306,3511,20,19.05
20023,116.2,2682,2.09,0.928608115048793,44500,0.5041014168530947,0.029082774049217,214,8,7.05
20025,0.9,2145,2.25,0.9189008042895442,42589,0.49184149184149184,0.05174825174825175,311,18,17.05
20027,83.6,8421,2.45,0.9627605056371712,52066,0.49222182638641493,0.014131338320864505,942,20,19.05
20029,47.2,9339,2.24,0.9113943972300913,39282,0.49791198201092196,0.02559160509690545,1202,12,11.05
20031,5.1,8458,2.33,0.9282111634162744,57433,0.502009931425869,0.011113738472452117,833,18,17.05
20033,1.1,2010,2.48,0.9167264895908112,45288,0.5074626865671642,0.02437810945273632,140,8,7.05
20035,94.9,36079,2.48,0.901936529602457,43860,0.5040050999196208,0.03622605948058427,5971,16,15.05
20037,105.2,39304,2.49,0.9001991778615925,36534,0.5020608589456543,0.03673926317932017,8219,16,15.05
20039,82.5,2905,1.91,0.9047835990888383,40657,0.5008605851979346,0.00929432013769363,316,12,11.05
20041,1.6,19516,2.45,0.8948783037180827,49096,0.49784791965566716,0.015115802418528387,2005,10,9.05
20043,–,7859,2.32,0.9008377167348529,47209,0.5079526657335539,0.00636213258684311,892,12,11.05
20045,67.4,114967,2.43,0.949497289533429,50939,0.5000565379630677,0.06925465568380491,20137,12,11.05
20047,65.7,2991,2.27,0.8228571428571428,47303,0.5108659311267135,0.12303577398863257,335,8,7.05
20049,5.5,2683,2.1,0.8898809523809523,36458,0.4990682072307119,0.017890421170331718,483,28,27.05
20051,107.9,28993,2.35,0.9337857876126383,45579,0.49846514675956266,0.03580174524885317,4353,8,7.05
20053,70.8,6410,2.08,0.8964339098868247,47736,0.5663026521060842,0.016224648985959437,484,16,15.05
20055,74.5,37133,2.9,0.7188893016344725,49227,0.5085503460533757,0.21312579107532384,6222,8,7.05
20057,83.7,34714,3.04,0.6941037967232414,50777,0.5158149449789711,0.27677594054272053,6183,8,7.05
20059,104.1,25753,2.56,0.9248469868173258,51081,0.49217566885411407,0.014056614763328545,3264,14,13.05
20061,62.8,36787,2.83,0.9237834272086061,43992,0.5209992660450703,0.07211786772501155,4463,14,13.05
20063,29.9,2735,2.25,0.9307381193124368,46364,0.506398537477148,0.012797074954296161,219,6,5.05
20065,144.7,2593,2.12,0.9332290036515388,43826,0.4851523332047821,0.019668337832626302,287,16,15.05
20067,61,7816,2.86,0.7156677181913775,55432,0.5062691914022518,0.18027123848515864,795,6,5.05
20069,23.2,6065,2.78,0.7615140285865537,61000,0.4921681780708986,0.09513602638087387,597,10,9.05
20071,110.5,1224,2.46,0.8814317673378076,47750,0.4991830065359477,0.0784313725490196,97,12,11.05
20073,2.1,6393,2.23,0.8988250652741514,38838,0.48803378695448146,0.004379790395745347,945,NA,NA
20075,70.4,2586,2.59,0.7976608187134503,45114,0.5189481825212684,0.17788089713843774,371,18,17.05
20077,64.6,5861,2.34,0.8859799363836555,43973,0.5040095546835011,0.016720696126940795,933,28,27.05
20079,84.8,34835,2.47,0.8988979396262577,51327,0.4887613032869241,0.049748815846131764,4415,12,11.05
20081,2.4,4130,2.93,0.706766917293233,56484,0.5031476997578692,0.19176755447941887,562,6,5.05
20083,0.3,1939,2.36,0.9259525521207764,54856,0.5012893243940175,0.05260443527591542,88,4,3.05
20085,48.3,13400,2.51,0.9403980874013121,54077,0.4975373134328358,0.00873134328358209,1197,8,7.05
20087,0.6,18898,2.47,0.9277832737234609,57236,0.5085194200444492,0.005767806117049423,1394,12,11.05
20089,0.6,3038,2.1,0.9333917616126205,40553,0.4990125082290981,0.01184990125082291,466,14,13.05
20091,66.9,566814,2.56,0.9578654728903007,76113,0.4892786698987675,0.08255088970985192,34556,12,11.05
20093,48.1,3952,2.81,0.7759170653907496,50506,0.5377024291497976,0.11892712550607287,412,6,5.05
20095,–,7790,2.54,0.9043795620437957,50844,0.5039794608472401,0.01116816431322208,811,16,15.05
20097,69.5,2536,2.21,0.9142011834319527,43963,0.4909305993690852,0.043769716088328074,364,10,9.05
20099,105.7,21048,2.44,0.887191042884304,41439,0.49306347396427214,0.010832383124287344,3651,16,15.05
20101,90.2,1674,2.07,0.9275237273511648,56507,0.48805256869773,0.016129032258064516,149,4,3.05
20103,44.3,78227,2.7,0.9134778870952336,63726,0.5344190624720365,0.03284032367341199,8223,14,13.05
20105,1.3,3154,2.31,0.9409151488227454,44276,0.4965123652504756,0.016487000634115408,333,10,9.05
20107,3.7,9528,2.26,0.8821498273532503,46964,0.48897984886649876,0.0041981528127623844,1246,18,17.05
20109,66.2,2793,2.21,0.9228395061728395,46875,0.5034013605442177,0.018976011457214465,232,16,15.05
20111,76.6,33462,2.43,0.8792694616820543,40021,0.4859841013687168,0.10103998565537027,6919,10,9.05
20113,79.7,29252,2.37,0.9092187892489324,56128,0.4960686448789826,0.016682619991795433,1993,10,9.05
20115,29.1,12290,2.4,0.8866320264525271,45927,0.49528071602929213,0.014808787632221317,1306,12,11.05
20117,32.6,10005,2.27,0.9418851878100638,45374,0.49955022488755624,0.007296351824087956,1087,12,11.05
20119,0.9,4383,2.51,0.856544502617801,52250,0.515172256445357,0.09148984713666439,481,6,5.05
20121,27.8,32688,2.55,0.944618071513926,60966,0.49244371023005384,0.010034263338228096,2949,14,13.05
20123,96.8,6296,2.25,0.9500346981263011,48217,0.5095298602287166,0.01667725540025413,626,10,9.05
20125,113.3,34184,2.47,0.8874648876404494,41083,0.49294991809033467,0.031388953896559796,6303,22,21.05
20127,1.2,5750,2.36,0.887482083134257,47089,0.4965217391304348,0.012,505,14,13.05
20129,137,3106,2.53,0.856359102244389,46028,0.5305859626529298,0.11365099806825499,325,14,13.05
20131,28.6,10159,2.32,0.9057714958775029,48653,0.5027069593463923,0.010040358302982577,1129,8,7.05
20133,38.3,16423,2.47,0.916773837957009,43195,0.4904706813615052,0.01704926018388845,2961,16,15.05
20135,97.7,3077,2.18,0.9102844638949672,44904,0.5073123171920702,0.04452388690282743,354,8,7.05
20137,102.2,5590,2.24,0.8633146204539908,47852,0.5692307692307692,0.024150268336314847,398,10,9.05
20139,1.7,16080,2.44,0.9077604119613335,49915,0.4986318407960199,0.007027363184079602,1997,18,17.05
20141,165.4,3782,2.08,0.9019321910317171,40216,0.49550502379693284,0.014542570068746695,564,16,15.05
20143,1.6,6048,2.39,0.930976430976431,52479,0.5181878306878307,0.010747354497354497,466,10,9.05
20145,51,6911,2.32,0.8907849829351536,43250,0.5738677470698886,0.02980755317609608,464,12,11.05
20147,2.4,5501,2.29,0.9215634837355718,44170,0.4882748591165243,0.01054353753862934,494,4,3.05
20149,1.1,22625,2.72,0.9572577232331781,60216,0.4954254143646409,0.025193370165745858,1992,12,11.05
20151,184.8,9739,2.39,0.8973836753877487,49550,0.5003593798131225,0.030187904302289764,1144,14,13.05
20153,0.3,2545,2.07,0.9205436487192891,41579,0.5080550098231827,0.03457760314341847,250,4,3.05
20155,106.7,64058,2.44,0.8807826307653261,45288,0.5036373286708921,0.02731899216335196,7457,12,11.05
20157,2.1,4806,2.07,0.9276406986415303,40449,0.49001248439450684,0.0089471493965876,599,14,13.05
20159,50.1,10014,2.42,0.8801749726605218,48460,0.5045935690033952,0.03634911124425804,1365,16,15.05
20161,66.8,75022,2.49,0.9511335285822757,44437,0.5332035936125403,0.07444482951667511,14922,10,9.05
20163,2.3,5186,2.28,0.9186524239934265,43558,0.4892016968762052,0.014654839953721558,723,12,11.05
20165,42.1,3184,2.1,0.9038297872340425,38854,0.5003140703517588,0.011620603015075377,292,12,11.05
20167,2.5,6988,2.12,0.8969733413509722,41102,0.5031482541499713,0.009874069834001145,885,18,17.05
20169,137.2,55735,2.42,0.8978421196394428,47801,0.4942316318291917,0.0567686373015161,8700,12,11.05
20171,93.6,4928,2.21,0.8488372093023255,51850,0.48681006493506496,0.07305194805194805,319,6,5.05
20173,99.9,506529,2.59,0.8900229318759265,50657,0.49538920772552014,0.08605232869194064,75400,20,19.05
20175,103,23274,3.05,0.6399155227032735,47134,0.508679212855547,0.3032568531408439,4350,8,7.05
20177,106.3,178792,2.44,0.9077789569562711,50378,0.4853852521365609,0.04544946082598774,26445,18,17.05
20179,1.6,2531,2.21,0.9157427937915743,49750,0.5219280916633742,0.021730541288028447,165,4,3.05
20181,90.5,6054,2.14,0.8925358619012886,39029,0.48447307565246117,0.013049223653782622,1125,18,17.05
20183,137.1,3740,2.21,0.9067395264116576,43848,0.49064171122994654,0.00267379679144385,543,12,11.05
20185,–,4320,2.35,0.8748752079866888,47377,0.5002314814814814,0.06527777777777778,675,16,15.05
20187,40.9,2149,2.58,0.8273273273273273,43780,0.46207538389948816,0.1209865053513262,113,8,7.05
20189,25.2,5772,2.84,0.8282632743362832,55433,0.5058905058905059,0.18018018018018017,1037,6,5.05
20191,66.5,23638,2.55,0.9202232227788699,50141,0.4947119045604535,0.007107200270750486,2869,18,17.05
20193,89.1,7925,2.39,0.9314137172565486,48504,0.4921135646687697,0.018170347003154574,733,14,13.05
20195,137.9,2951,2.21,0.9401508011310085,54000,0.4862758386987462,0.010843781768891902,119,18,17.05
20197,–,6997,2.59,0.9497393117831074,54688,0.508646562812634,0.005002143775903959,404,14,13.05
20199,41.8,1595,2.52,0.9153488372093024,47279,0.4946708463949843,0.018808777429467086,129,2,1
20201,81.3,5686,2.27,0.9007936507936508,45159,0.5073865634892719,0.02638058389025677,649,10,9.05
20203,–,2204,2.79,0.7780959198282033,57171,0.5217785843920145,0.15471869328493648,214,6,5.05
20205,117.3,9061,2.37,0.856482219741668,40306,0.4940955744399073,0.015671559430526432,1639,26,25.05
20207,0.6,3211,2.08,0.902002556455049,35787,0.5001557147306135,0.0071628776082217375,714,NA,NA
20209,71.5,160806,2.71,0.7863745701051628,40113,0.4940425108515851,0.1532654254194495,37963,14,13.05
21001,100.2,18852,2.5,0.749564666772202,33362,0.4937407171652875,0.012889879057924889,3789,20,19.05
21003,92.7,20355,2.59,0.7754299038181288,41326,0.4919675755342668,0.011692458855318104,3454,18,17.05
21005,90.4,21761,2.56,0.8813582342954159,53974,0.48706401360231605,0.009098846560360278,2223,22,21.05
21007,102.9,8256,2.48,0.8501033769813922,42244,0.49636627906976744,0.018410852713178296,1295,22,21.05
21009,125.6,42925,2.48,0.8116654714339377,38370,0.4867792661619103,0.017518928363424578,8598,14,13.05
21011,53.7,11978,2.76,0.7562523329600597,33483,0.4964935715478377,0.007513775254633495,3122,NA,NA
21013,249.7,27950,2.44,0.6621690950133388,22443,0.48590339892665474,0.0043649373881932026,10233,NA,NA
21015,89,124617,2.77,0.9198043707051322,66730,0.4937528587592383,0.05049872810290731,10156,22,21.05
21017,98,20013,2.51,0.8294109153912792,45208,0.4935791735372008,0.049018138210163396,3272,22,21.05
21019,90.8,48917,2.41,0.8846175930179145,42319,0.495553692990167,0.010303166588302635,9500,NA,NA
21021,117.6,29388,2.42,0.8565920965860092,39704,0.49703960800326663,0.023240778549067646,4291,20,19.05
21023,18.5,8425,2.54,0.8295734931265422,36327,0.49887240356083085,0.008071216617210683,1544,20,19.05
21025,185.8,13591,2.41,0.6888489208633094,25817,0.5024648664557427,0.004193951879920535,4366,NA,NA
21027,47.2,20061,2.71,0.7819548872180451,43479,0.49573799910273664,0.0032401176411943574,3422,20,19.05
21029,64.6,76961,2.71,0.8630579333537145,55975,0.49439326412078843,0.00982315718350853,7911,16,15.05
21031,90.5,12835,2.44,0.7511170688114388,33536,0.5025321386832878,0.012699649396182315,3667,26,25.05
21033,132.2,12826,2.39,0.8684882816838831,42537,0.4826914080773429,4.677997816934352e-4,2544,18,17.05
21035,97.3,38106,2.35,0.874104001042617,37034,0.4823124967196767,0.056500288668451165,8015,14,13.05
21037,85.9,91475,2.49,0.8927337332116313,54621,0.4903853511888494,0.023930035528833014,12883,NA,NA
21039,81.3,4984,2.39,0.8214992927864215,38829,0.4819422150882825,0.009630818619582664,970,20,19.05
21041,163.8,10830,2.63,0.7812896853393537,41439,0.5161588180978762,0.04044321329639889,2898,30,29.05
21043,75.3,27326,2.54,0.7980753547545262,36696,0.4941081753641221,0.007062870526238747,4682,30,29.05
21045,106.1,15954,2.44,0.726606334841629,32341,0.49247837532907107,0.01241068070703272,3969,26,25.05
21047,63.5,74159,2.67,0.853479766592343,39521,0.5244272441645653,0.030259307703717687,13576,10,9.05
21049,95.1,35657,2.49,0.8400241594523857,47959,0.48977760327565417,0.015200381411784503,5401,NA,NA
21051,219.1,21300,2.53,0.6369729874656478,21549,0.5359154929577464,0.008309859154929577,7732,NA,NA
21053,156.6,10188,2.6,0.6959954069183293,28025,0.4958775029446408,0.011091480172752258,2435,NA,NA
21055,122.5,9222,2.4,0.7991043854231007,35316,0.5015181088700933,0.006180871828236825,1974,28,27.05
21057,174.3,6807,2.45,0.7705980761187787,32019,0.48670486264139856,0.006463934185397385,1682,NA,NA
21059,103.2,98173,2.48,0.8791949351022197,45989,0.48475650127835557,0.022582583806138142,14948,18,17.05
21061,90.9,12105,2.51,0.7882946281961061,41710,0.5020239570425444,0.011317637339942172,2296,22,21.05
21063,39.3,7725,2.44,0.7481874447391689,28224,0.5624595469255663,0.002071197411003236,2079,NA,NA
21065,146.1,14476,2.49,0.7426052889324192,29770,0.4917104172423321,0.0019342359767891683,4199,NA,NA
21067,65.4,308306,2.35,0.8984033520563499,49778,0.4912619280844356,0.0882597159964451,55900,22,21.05
21069,71.1,14544,2.57,0.7836626604196374,35469,0.4936056105610561,0.0024752475247524753,2907,24,23.05
21071,226.2,38649,2.45,0.7507617985878855,30096,0.4928458692333566,0.005925120960438821,11441,NA,NA
21073,95.4,49778,2.28,0.8681251811069255,47964,0.4875848768532283,0.032604765157298404,6990,16,15.05
21075,179.9,6422,2.33,0.7543352601156069,28359,0.4934599813142323,0.0054500155714730615,1641,20,19.05
21077,42.7,8567,2.73,0.8213076786032425,48370,0.5006419983658223,0.03209991829111708,1294,NA,NA
21079,50.5,16976,2.55,0.7961506276150627,44243,0.49081055607917057,0.015845900094250708,3653,22,21.05
21081,106.8,24670,2.91,0.8255695558101056,44824,0.4961086339683827,0.013214430482367248,4445,NA,NA
21083,96.9,37502,2.56,0.8254806177119446,39530,0.48698736067409737,0.03231827635859421,6342,16,15.05
21085,128.3,26001,2.6,0.7706385404789053,35030,0.4980577670089612,0.006730510364985962,6119,30,29.05
21087,81.5,11149,2.46,0.7840808591282376,34982,0.48928154991479056,0.011839626872365235,2216,16,15.05
21089,77,36477,2.54,0.858140346793902,45370,0.48548400361871863,0.007484168105929764,6355,30,29.05
21091,26,8669,2.62,0.8816220880069024,50476,0.5130926289076018,0.004960203022263237,1360,14,13.05
21093,86.4,107529,2.58,0.890901498898504,50765,0.49894447079392534,0.04283495615136382,14886,14,13.05
21095,129.9,28400,2.43,0.716898017722686,25814,0.4886267605633803,0.006126760563380282,8661,NA,NA
21097,96.3,18648,2.57,0.8136612021857923,35681,0.48825611325611323,0.016302016302016303,4069,22,21.05
21099,59,18441,2.49,0.727579556412729,34774,0.49395369014695517,0.010248901903367497,4507,20,19.05
21101,143.4,46396,2.41,0.860261054209343,41036,0.484007242003621,0.013061470816449695,8602,16,15.05
21103,61.8,15455,2.57,0.8122096881220969,46495,0.49809123261080557,0.014040763506955678,2798,18,17.05
21105,61.9,4720,2.29,0.8075904677846425,41218,0.475635593220339,0.006567796610169491,675,26,25.05
21107,129.9,46518,2.45,0.8447287710276031,42346,0.48589793198331827,0.009523195322240854,7799,18,17.05
21109,48.1,13357,2.39,0.7213505031922952,29826,0.49786628733997157,0.003668488433031369,4163,20,19.05
21111,83.4,755809,2.41,0.8893075470893564,48695,0.48255445489535054,0.06700237758481309,121683,22,21.05
21113,91.4,50328,2.65,0.8508804334441571,50558,0.48954856143697345,0.04152757908122715,9190,24,23.05
21115,178.1,23350,2.53,0.7706467354376428,35570,0.4884796573875803,0.004496788008565311,5977,NA,NA
21117,74.9,163007,2.58,0.8915546673022975,54296,0.4933346420705859,0.024728999368125296,23432,NA,NA
21119,87.5,16000,2.57,0.7054143040058533,30411,0.496375,0.0038125,4308,NA,NA
21121,86.9,31809,2.5,0.702841042498239,26599,0.48687478386620137,0.006884843912100349,10093,NA,NA
21123,86.5,14149,2.6,0.8294621026894865,38578,0.4911301152024878,0.017315711357693123,2460,16,15.05
21125,106,59751,2.54,0.7613647545016236,36020,0.4900503757259293,0.012786396880386939,13588,26,25.05
21127,107,15821,2.6,0.7742497935211526,35935,0.4952910688325643,0.012135768914733582,3548,NA,NA
21129,147.1,7119,2.2,0.7143691588785047,22698,0.5270403146509341,0.006602050849838461,2003,NA,NA
21131,209.7,10997,2.59,0.6506991196271362,25872,0.4935891606801855,0.0015458761480403747,3051,NA,NA
21133,137.1,23671,2.44,0.7350095556617295,30333,0.4914029825524904,0.006886063115204258,6614,NA,NA
21135,23.7,13790,2.54,0.7364544976328248,28630,0.5002900652646846,0.002755620014503263,4151,24,23.05
21137,74.4,24498,2.48,0.7801667659321024,37139,0.48277410400849047,0.003347212017307535,6039,24,23.05
