fips,opioid_presc_rate
22013,59.4
22015,95.3
22017,112.1
22019,105.6
22021,51.8
22023,–
22025,96.5
22027,97.1
22029,76.7
22031,64.4
22033,92.1
22035,105.8
22037,46.6
22039,192.1
22041,123.6
22043,43.2
22045,93.1
22047,80.7
22049,77.7
22051,106.5
22053,103.7
22055,97.1
22057,96.3
22059,119.3
22061,98.4
22063,105.2
22065,1.8
22067,118.4
22069,76.6
22071,64.8
22073,110.9
22075,47.6
22077,95
22079,144
22081,118
22083,139.3
22085,66.9
22087,147.5
22089,74
22091,73.1
22093,84
22095,93.2
22097,145.5
22099,74.8
22101,107.6
22103,102.6
22105,129.5
22107,44.6
22109,97.5
22111,86.2
22113,66.1
22115,78.2
22117,136.9
22119,114.7
22121,101.1
22123,50.7
22125,45.2
22127,111.5
25001,60.8
25003,58.3
25005,72.5
25007,55.4
25009,46.9
25011,51.5
25013,66.7
25015,56.7
25017,33.8
25019,36.7
25021,42.3
25023,53.5
25025,32.2
25027,51.7
24001,127.2
24003,69.8
24005,71.4
24009,90.1
24011,46.4
24013,72.4
24015,74
24017,78.5
24019,69.5
24021,67.4
24023,96.7
24025,72.9
24027,35.5
24029,117.1
24031,34.7
24033,38.7
24035,67.4
24037,66.8
24039,49.3
24041,104.1
24043,113.1
24045,77.4
24047,76.5
24510,54.6
23001,71.9
23003,74.6
23005,53.4
23007,60.7
23009,65.5
23011,101.7
23013,61.9
23015,45.4
23017,72.8
23019,71.2
23021,77.9
23023,61.5
23025,76.8
23027,46
23029,64.3
23031,63.8
26001,28.2
26003,73.5
26005,52.9
26007,118.8
26009,50.7
26011,109.3
26013,83.9
26015,63.7
26017,101.6
26019,71.8
26021,97.4
26023,76.8
26025,120.4
26027,39.5
26029,80.7
26031,121.5
26033,62.9
26035,125.3
26037,38.2
26039,127.3
26041,101.8
26043,105.9
26045,95.2
26047,127.1
26049,119.7
26051,104.6
26053,113.4
26055,103
26057,77.1
26059,70.4
26061,42.7
26063,75.1
26065,71.7
26067,67.2
26069,153.4
26071,82.2
26073,74.6
26075,83.7
26077,72.4
26079,106.5
26081,75.5
26083,–
26085,36.3
26087,78.4
26089,20.3
26091,91
26093,58.9
26095,132.8
26097,82.1
26099,97.5
26101,98.4
26103,83.8
26105,124.5
26107,90.2
26109,43.6
26111,83.3
26113,37.3
26115,92.6
26117,115.9
26119,64.3
26121,126.7
26123,116
26125,72.8
26127,67.3
26129,148.3
26131,32.5
26133,81
26135,98
26137,150.2
26139,58.6
26141,52.4
26143,147.5
26145,91
26147,100.6
26149,105.9
26151,46.4
26153,105.6
26155,96.5
26157,78.3
26159,112.8
26161,44.1
26163,89.1
26165,144.7
27001,80.6
27003,52.1
27005,45.6
27007,55.4
27009,39.3
27011,84.9
27013,66
27015,56.6
27017,62.9
27019,40.2
27021,31.2
27023,70.4
27025,34.6
27027,54.4
27029,68.3
27031,41.3
27033,73.9
27035,59.7
27037,48.4
27039,16.9
27041,91
27043,54.7
27045,29.8
27047,35.7
27049,46.9
27051,47.2
27053,38.6
27055,23.4
27057,57.4
27059,52.4
27061,65.1
27063,26.5
27065,82.4
27067,64.3
27069,38.7
27071,59.5
27073,61
27075,32.8
27077,68.2
27079,10.9
27081,43.2
27083,49.5
27085,69
27087,37.7
27089,24
27091,76.7
27093,30.2
27095,74.5
27097,64.8
27099,41.2
27101,36.1
27103,20.2
27105,48.5
27107,26.4
27109,28.9
27111,56.2
27113,74.8
27115,63.3
27117,74.7
27119,64.1
27121,68.6
27123,42
27125,32
27127,50
27129,31
27131,50.2
27133,59.6
27135,60.4
27137,64.6
27139,37.2
27141,41.1
27143,28
27145,55
27147,48
27149,57.5
27151,55
27153,25.3
27155,56.6
27157,10.1
27159,145.6
27161,43.4
27163,53
27165,43
27167,62.2
27169,47.4
27171,52.8
27173,37.4
29001,113.5
29003,1
29005,99.9
29007,69.8
29009,123.9
29011,127.1
29013,56.8
29015,103.4
29017,65.6
29019,46.5
29021,109.2
29023,180.7
29025,2.7
29027,44
29029,111.2
29031,117.8
29033,86.6
29035,0.8
29037,106.2
29039,9.1
29041,36.9
29043,73.8
29045,81.2
29047,89.2
29049,62.4
29051,97.2
29053,38
29055,84.7
29057,33.5
29059,33.9
29061,32.7
29063,–
29065,95.4
29067,84.7
29069,162.6
29071,100.4
29073,69.1
29075,50.6
29077,108.9
29079,109.3
29081,125.5
29083,148
29085,4
29087,–
29089,0.9
29091,162.5
29093,140
29095,79.6
29097,140.9
29099,78.4
29101,54.8
29103,1.7
29105,108.6
29107,44
29109,51.2
29111,3.4
29113,73.4
29115,41.9
29117,98.5
29119,43.6
29121,84.4
29123,127.1
29125,–
29127,118.6
29129,59.6
29131,71.9
29133,66.1
29135,0.4
29137,2.6
29139,59.6
29141,30.5
29143,71.4
29145,54.2
29147,76.5
29149,51.8
29151,24
29153,49.4
29155,148.6
29157,62.3
29159,79.2
29161,90.3
29163,69.6
29165,68.4
29167,99.2
29169,42.5
29171,57.9
29173,–
29175,114.8
29177,78
29179,0.8
29181,145.5
29183,75.2
29185,2.4
29186,45.9
29187,171.5
29189,69
29195,88
29197,0.2
29199,102.6
29201,118.9
29203,43
29205,32.2
29207,99.3
29209,73.9
29211,79.9
29213,112.8
29215,66.1
29217,85.3
29219,60.7
29221,41.6
29223,26.6
29225,98.2
29227,4.2
29229,121.1
29510,54.1
28001,158.2
28003,175.7
28005,48.4
28007,116.6
28009,67.4
28011,87.6
28013,79.8
28015,0.5
28017,86.8
28019,58.7
28021,78.8
28023,120.9
28025,113.4
28027,120.3
28029,101.6
28031,113.6
28033,100.5
28035,210
28037,72
28039,158.9
28041,57.9
28043,164.7
28045,89.2
28047,125.7
28049,72.2
28051,66.5
28053,61.1
28055,–
28057,122.3
28059,103.1
28061,38.7
28063,0.2
28065,118.3
28067,148.4
28069,39.7
28071,71.2
28073,38.9
28075,157.7
28077,118
28079,92.4
28081,124.9
28083,119.1
28085,115.5
28087,124.2
28089,67.7
28091,182.9
28093,48.7
28095,102.3
28097,91.4
28099,147.1
28101,71.2
28103,99.3
28105,74.1
28107,101.4
28109,133.1
28111,89
28113,153.2
