fips,opioid_presc_rate,total_population,average_household_size,percent_with_healthcare,median_household_income,median_age,perc_foreign_born,percent_grad_high_school,perc_male,poverty_population,opioid_death_rate
37083,116,53407,2.42,0.997229916897507,32245,42.1,0.019454378639504184,0.7664498644986449,0.47971239725129666,13660,197.041
37085,79.8,124320,2.84,0.9879494271039115,46353,33.6,0.05888030888030888,0.8562406323260014,0.4929295366795367,22094,110.788
37087,102.7,59170,2.24,1,42257,46.8,0.02545208720635457,0.8693672154291049,0.48399526787223257,10056,219.175
37089,84.2,109719,2.35,0.9992043847241867,46448,46.3,0.07418040631066634,0.8806486406069848,0.48435548993337524,14984,168.113
37091,136.4,24368,2.48,1,33008,41.7,0.035333223900196976,0.798657319391635,0.4937623112278398,5475,186.443
37093,61.2,51075,2.93,0.9936440677966102,41542,31.4,0.05689672050905531,0.8494110960245035,0.4934312285854136,11047,116.406
37095,64.1,5693,2.44,1,42897,43,0.03038819603021254,0.7939759036144578,0.5440014052344985,890,NA
37097,102,165066,2.69,0.9992180518319929,52306,39.9,0.06130880980940957,0.8719522070069998,0.4924151551500612,22803,141.109
37099,91.7,40812,2.33,1,38015,36.8,0.03913064784867196,0.8821472486935137,0.49139958835636577,8139,177.553
37101,70.2,178396,2.85,0.9976529062543145,50512,37.4,0.07513060830960336,0.8401206766141787,0.4913114643826095,27086,132.672
37103,24.2,10166,2.43,1,34005,45.2,0.0314774739327169,0.8187299035369775,0.4884910485933504,2173,223.464
37105,129.6,59418,2.75,0.9937219730941704,45608,37.5,0.11478003298663704,0.8067048534751701,0.48958228146352956,10533,186.192
37107,88.2,58782,2.47,0.9963669391462306,34717,42.1,0.04428226327787418,0.7948698847834724,0.475876969140213,13401,193.694
37109,115.7,79578,2.62,0.992530345471522,49215,42,0.046030309884641483,0.8290761604326273,0.49553896805649805,12243,179.874
37111,87.4,44961,2.52,0.9956562209121936,35965,43.1,0.038500033362247284,0.8169486215538847,0.504793042859367,8897,230.727
37113,91.1,33919,2.16,1,39133,49,0.052507444205312656,0.8707243858124655,0.4851263303753059,6401,226.902
37115,58.8,21027,2.36,1,37904,44,0.027393351405335997,0.8074672048435924,0.4975032101583678,3616,229.616
37117,102.1,23729,2.54,1,35080,46,0.01643558514897383,0.8264555911300842,0.47140629609338786,5007,263.249
37119,54.4,990288,2.57,0.9928185265875897,56854,34.5,0.1433754624917196,0.8936592296197194,0.48144075258914576,148326,69.205
37121,150.3,15330,2.36,1,37391,46.7,0.020417482061317677,0.8080799072505128,0.4900195694716243,2910,231.39
37123,65.3,27601,2.52,0.9963560645497137,32500,41.1,0.08021448498242817,0.7495507874431878,0.4852360421723851,6716,167.773
37125,127.3,91743,2.44,0.9957991803278688,50998,45.1,0.04934436414767339,0.89229582343776,0.4802764243593517,13808,174.365
37127,92.3,94722,2.52,0.9938650306748467,42713,41,0.041817106902303586,0.8395922414327323,0.4805747344861806,17141,195.734
37129,102.7,213091,2.33,0.9943498391273641,50088,37.8,0.055253389397018175,0.9169855959919282,0.48231506727172896,36717,98.889
37131,15.6,21011,2.35,0.9940828402366864,30429,47.1,0.017181476369520728,0.7627766069546892,0.4837466089191376,5658,220
37133,76.9,183753,2.75,1,46335,26.1,0.040701376304060344,0.9076951402882482,0.5416292523115269,24916,125.577
37135,42.1,138644,2.47,0.992462311557789,59290,33.3,0.12905715357318023,0.9206012399388328,0.47747468336170334,20236,81.808
37137,86.9,12982,2.36,0.9976076555023924,43444,49.8,0.029271298721306425,0.8691825171995143,0.5149437682945617,1674,210.592
37139,130.8,40018,2.61,0.9965679965679966,45378,37.4,0.03745814383527413,0.8381123730274748,0.490354340546754,7256,208.208
37141,50.6,55166,2.67,0.9947291361639824,44828,42.1,0.036127324801508175,0.8567573878525283,0.5002356523945909,9925,159.079
37143,36.1,13498,2.44,1,44329,47.8,0.02370721588383464,0.8394527713509707,0.47429248777596683,2626,254.968
37145,104.6,39262,2.52,0.9996105919003115,42105,42.4,0.027940502266822882,0.8301990140587913,0.48616983342672304,7708,160.371
37147,82.9,173798,2.48,0.9844642145797371,41119,31.5,0.046623091174812135,0.880516768634798,0.47184087273731573,42743,163.074
37149,64.7,20327,2.3,0.9987546699875467,46528,50.9,0.03143602105573867,0.881445970458668,0.4825109460323707,2790,250.811
37151,71.5,142370,2.59,0.9987146529562982,41947,40.5,0.06580740324506568,0.7979590573279953,0.49389618599424034,24770,211.273
37153,151.6,46046,2.42,0.9960826210826211,32687,39.9,0.040633279763714544,0.8063854047890536,0.4877513790557269,11465,253.677
37155,129.7,134871,2.87,0.9931011826544021,30608,35.2,0.04985504667422945,0.7510206489675516,0.48396616025683803,41538,165.872
37157,131.9,92300,2.42,1,38126,43.6,0.03594799566630553,0.8041689606655655,0.48269772481040085,16968,215.553
37159,80.8,138361,2.6,0.9957901922858118,43069,40.3,0.048359002898215535,0.824687549859065,0.49406263325648125,24194,185.803
37161,97.3,66865,2.48,0.9983815496661946,35630,43.3,0.027518133552680776,0.8109667194928685,0.48548568010169746,13077,307.132
37163,87.2,63873,2.7,0.9952165156092648,35490,39.2,0.09456264775413711,0.7520094007050528,0.49156920764642337,16050,198.023
37165,191.5,35932,2.59,1,30958,39.1,0.021958143159300902,0.7872940978219657,0.4946565735277747,10504,195.778
37167,111.1,60586,2.47,0.9959380553439959,40910,41.8,0.032367213547684286,0.8276962961184858,0.500511669362559,10356,200.688
37169,86.1,46661,2.43,1,40696,44.7,0.01669488437881743,0.8077198211624441,0.4894237157369109,7826,208.257
37171,164,73170,2.47,0.9972061836468616,36164,42.7,0.05230285636189695,0.7677178504764711,0.4898592319256526,14195,183.046
37173,88.5,14163,2.58,1,33931,40.7,0.015462825672527008,0.8056713080597622,0.4806891195368213,3409,264.882
37175,98.9,32928,2.31,1,45114,50.1,0.03683794946550049,0.884624786115864,0.48533163265306123,4017,238.934
37179,67.9,213422,2.99,0.9941389200648459,65903,37.2,0.09029059797021863,0.8904192557033581,0.49432579584110353,21416,63.546
37181,120.9,44829,2.65,1,33316,40,0.037163443306788016,0.7675163530919145,0.46808985255080415,11064,207.938
37183,54.5,976019,2.61,0.9923413254079387,67309,35.3,0.12897597280380813,0.9187035002354419,0.48663704292641846,107687,61.999
37185,32.3,20468,2.48,0.9964114832535885,34254,46.1,0.030730897009966777,0.7784033100454453,0.5040062536642564,4692,190.888
37187,87.1,12668,2.4,1,34538,45.1,0.026286706662456583,0.7944623161764706,0.4600568361225134,2737,229.602
37189,76.8,52240,2.35,1,37656,29.5,0.03231240428790199,0.8903577252697685,0.4983728943338438,14726,87.163
37191,78.6,124355,2.56,0.9992911823079104,40390,36.7,0.07337863375015077,0.8266342158959609,0.49138353906155763,27037,126.46
