fips,total_population
19083,17393
19085,14467
19087,20080
19089,9494
19091,9674
19093,7071
19095,16344
19097,19572
19099,36726
19101,17318
19103,139436
19105,20560
19107,10291
19109,15280
19111,35369
19113,216640
19115,11271
19117,8731
19119,11723
19121,15644
19123,22396
19125,33248
19127,40962
19129,14862
19131,10762
19133,9088
19135,8002
19137,10465
19139,42913
19141,14092
19143,6211
19145,15660
19147,9208
19149,24853
19151,7127
19153,452369
19155,93213
19157,18705
19159,5061
19161,10101
19163,169994
19165,11992
19167,34509
19169,93586
19171,17479
19173,6213
19175,12575
19177,7432
19179,35315
19181,47542
19183,22017
19185,6384
19187,37295
19189,10614
19191,20884
19193,102530
19195,7563
19197,12936
20109,2793
20111,33462
20113,29252
20115,12290
20117,10005
20119,4383
20121,32688
20123,6296
20125,34184
20127,5750
20129,3106
20131,10159
20133,16423
20135,3077
20137,5590
20139,16080
20141,3782
20143,6048
20145,6911
20147,5501
20149,22625
20151,9739
20153,2545
20155,64058
20157,4806
20159,10014
20161,75022
20163,5186
20165,3184
20167,6988
20169,55735
20171,4928
20173,506529
20175,23274
20177,178792
20179,2531
20181,6054
20183,3740
20185,4320
20187,2149
20189,5772
20191,23638
20193,7925
20195,2951
20197,6997
20199,1595
20201,5686
20203,2204
20205,9061
20207,3211
20209,160806
20001,13081
20003,7896
20005,16633
20007,4770
20009,27399
20011,14812
20013,9880
20015,66092
20017,2722
20019,3520
20021,20952
20023,2682
20025,2145
20027,8421
20029,9339
20031,8458
20033,2010
20035,36079
20037,39304
20039,2905
20041,19516
20043,7859
20045,114967
20047,2991
20049,2683
20051,28993
20053,6410
20055,37133
20057,34714
20059,25753
20061,36787
20063,2735
20065,2593
20067,7816
20069,6065
20071,1224
20073,6393
20075,2586
20077,5861
20079,34835
20081,4130
20083,1939
20085,13400
20087,18898
20089,3038
20091,566814
20093,3952
20095,7790
20097,2536
20099,21048
20101,1674
20103,78227
20105,3154
20107,9528
21001,18852
21003,20355
21005,21761
21007,8256
21009,42925
21011,11978
21013,27950
21015,124617
21017,20013
21019,48917
21021,29388
21023,8425
21025,13591
21027,20061
21029,76961
21031,12835
21033,12826
21035,38106
21037,91475
21039,4984
21041,10830
21043,27326
21045,15954
21047,74159
21049,35657
21051,21300
21053,10188
21055,9222
21057,6807
21059,98173
21061,12105
21063,7725
21065,14476
21067,308306
21069,14544
21071,38649
21073,49778
21075,6422
21077,8567
21079,16976
21081,24670
21083,37502
21085,26001
21087,11149
21089,36477
21091,8669
21093,107529
21095,28400
21097,18648
21099,18441
21101,46396
21103,15455
21105,4720
21107,46518
21109,13357
21111,755809
21113,50328
21115,23350
21117,163007
21119,16000
21121,31809
21123,14149
21125,59751
21127,15821
21129,7119
21131,10997
21133,23671
21135,13790
21137,24498
21139,9394
21141,26851
21143,8402
21145,65408
21147,18001
21149,9500
21151,85838
21153,12979
21155,19717
21157,31181
21159,12631
21161,17296
21163,29098
21165,6343
21167,21342
21169,9985
21171,10765
21173,27167
21175,13428
21177,31309
21179,44564
21181,7075
21183,24065
21185,63037
21187,10711
21189,4616
21191,14514
21193,28041
21195,63434
21197,12447
21199,63635
21201,2208
21203,16942
21205,23608
21207,17669
21209,50178
21211,44290
21213,17704
21215,17577
21217,24993
21219,12524
21221,14250
21223,8783
21225,15138
21227,118950
21229,11910
21231,20655
21233,13357
21235,35794
21237,7261
21239,25317
22001,62163
22003,25653
22005,114738
22007,23057
22009,41389
22011,36259
22013,13977
22015,123403
22017,254742
22019,195887
22021,9990
22023,6706
22025,10247
22027,16639
22029,20449
22031,26965
22033,444690
22035,7501
22037,19855
22039,33768
22041,20550
22043,22362
22045,73938
22047,33229
22049,16109
22051,435092
22053,31434
22055,231811
22057,97474
22059,14899
22061,47349
22063,133949
22065,11873
22067,27012
22069,39330
22071,376738
22073,155769
22075,23599
22077,22498
22079,132225
22081,8838
22083,20777
22085,24248
22087,42858
22089,52639
22091,10818
22093,21650
22095,44161
22097,83613
22099,53126
22101,53441
22103,242960
22105,125486
22107,4893
22109,112742
22111,22533
22113,59110
22115,52476
22117,46556
22119,40617
22121,24669
22123,11454
22125,15415
22127,14855
23001,107393
23003,70005
23005,286119
23007,30402
23009,54658
23011,121112
23013,39723
23015,34156
23017,57421
23019,153437
23021,17156
23023,35092
23025,51577
23027,38976
23029,32191
23031,199682
24001,73549
24003,555280
24005,822959
24009,90114
24011,32661
24013,167444
24015,101960
24017,152754
24019,32534
24021,241373
24023,29813
24025,248966
24027,304115
24029,19923
24031,1017859
24033,892816
