fips,poverty_population
19021,2452
19023,1322
19025,1384
19027,2047
19029,1855
19031,1393
19033,5665
19035,1281
19037,1067
19039,1493
19041,1848
19043,1941
19045,6608
19047,3367
19049,4796
19051,1657
19053,1541
19055,1717
19057,6010
19059,1100
19061,11189
19063,1250
19065,2550
19067,1957
19069,1372
19071,757
19073,1135
19075,757
19077,1199
19079,1712
19081,924
19083,1454
19085,1398
19087,2695
19089,1081
19091,1155
19093,809
19095,1391
19097,2343
19099,3342
19101,2311
19103,23537
19105,1950
19107,1374
19109,1357
19111,5791
19113,20747
19115,1357
19117,1126
19119,843
19121,1164
19123,3206
19125,3124
19127,4429
19129,1300
19131,1005
19133,1233
19135,944
19137,1717
19139,5219
19141,1013
19143,521
19145,2262
19147,948
19149,1907
19151,987
19153,57143
19155,11779
19157,1767
19159,514
19161,805
19163,20229
19165,1307
19167,2663
19169,19109
19171,1919
19173,860
19175,1676
19177,1095
19179,6399
19181,3124
19183,2013
19185,834
19187,5210
19189,995
19191,1507
19193,14557
19195,887
19197,1412
20109,232
20111,6919
20113,1993
20115,1306
20117,1087
20119,481
20121,2949
20123,626
20125,6303
20127,505
20129,325
20131,1129
20133,2961
20135,354
20137,398
20139,1997
20141,564
20143,466
20145,464
20147,494
20149,1992
20151,1144
20153,250
20155,7457
20157,599
20159,1365
20161,14922
20163,723
20165,292
20167,885
20169,8700
20171,319
20173,75400
20175,4350
20177,26445
20179,165
20181,1125
20183,543
20185,675
20187,113
20189,1037
20191,2869
20193,733
20195,119
20197,404
20199,129
20201,649
20203,214
20205,1639
20207,714
20209,37963
20001,2257
20003,1362
20005,2970
20007,511
20009,4261
20011,2757
20013,1598
20015,6620
20017,360
20019,579
20021,3511
20023,214
20025,311
20027,942
20029,1202
20031,833
20033,140
20035,5971
20037,8219
20039,316
20041,2005
20043,892
20045,20137
20047,335
20049,483
20051,4353
20053,484
20055,6222
20057,6183
20059,3264
20061,4463
20063,219
20065,287
20067,795
20069,597
20071,97
20073,945
20075,371
20077,933
20079,4415
20081,562
20083,88
20085,1197
20087,1394
20089,466
20091,34556
20093,412
20095,811
20097,364
20099,3651
20101,149
20103,8223
20105,333
20107,1246
21001,3789
21003,3454
21005,2223
21007,1295
21009,8598
21011,3122
21013,10233
21015,10156
21017,3272
21019,9500
21021,4291
21023,1544
21025,4366
21027,3422
21029,7911
21031,3667
21033,2544
21035,8015
21037,12883
21039,970
21041,2898
21043,4682
21045,3969
21047,13576
21049,5401
21051,7732
21053,2435
21055,1974
21057,1682
21059,14948
21061,2296
21063,2079
21065,4199
21067,55900
21069,2907
21071,11441
21073,6990
21075,1641
21077,1294
21079,3653
21081,4445
21083,6342
21085,6119
21087,2216
21089,6355
21091,1360
21093,14886
21095,8661
21097,4069
21099,4507
21101,8602
21103,2798
21105,675
21107,7799
21109,4163
21111,121683
21113,9190
21115,5977
21117,23432
21119,4308
21121,10093
21123,2460
21125,13588
21127,3548
21129,2003
21131,3051
21133,6614
21135,4151
21137,6039
21139,1362
21141,5103
21143,1002
21145,10763
21147,6723
21149,1983
21151,16792
21153,3672
21155,3784
21157,3287
21159,3896
21161,3087
21163,4810
21165,1851
21167,3862
21169,2158
21171,2937
21173,6956
21175,3249
21177,6000
21179,7072
21181,1624
21183,5208
21185,3503
21187,1780
21189,1710
21191,2188
21193,6894
21195,14256
21197,3392
21199,16497
21201,473
21203,4105
21205,5410
21207,4475
21209,5332
21211,5566
21213,3473
21215,1466
21217,5658
21219,2277
21221,2500
21223,1486
21225,4091
21227,21047
21229,2034
21231,5477
21233,2296
21235,8871
21237,3058
21239,3259
22001,12539
22003,3501
22005,13447
22007,3643
22009,8750
22011,7137
22013,3754
22015,17303
22017,53752
22019,32864
22021,2053
22023,650
22025,1890
22027,4058
22029,5598
22031,7059
22033,85254
22035,2903
22037,3317
22039,8373
22041,5847
22043,3460
22045,14277
22047,5612
22049,3981
22051,72319
22053,6462
22055,36346
22057,14117
22059,2857
22061,14146
22063,19086
22065,3962
22067,7432
22069,11208
22071,98823
22073,36312
22075,3775
22077,4368
22079,26645
22081,1937
22083,4154
22085,4626
22087,8209
22089,6152
22091,2854
22093,3841
22095,7893
22097,22970
22099,9388
22101,11746
22103,27482
22105,26962
22107,1685
22109,21627
22111,6166
22113,10379
22115,7403
22117,11811
22119,9327
22121,4662
22123,2746
22125,1914
22127,3466
23001,16332
23003,12608
23005,32339
23007,4318
23009,7196
23011,16256
23013,4304
23015,4073
23017,9911
23019,24933
23021,3520
23023,4200
23025,8907
23027,6243
23029,5946
23031,19192
24001,11927
24003,31573
24005,75464
24009,5207
24011,5086
24013,9205
24015,10179
24017,11905
24019,5275
24021,16204
24023,3615
24025,19854
24027,15759
24029,2051
24031,67820
24033,84018
24035,3588
24037,8384
24039,4681
24041,4202
24043,18094
24045,15493
24047,5567
24510,141654
25001,18392
25003,16038
25005,68016
25007,1970
25009,85417
25011,8210
25013,79308
25015,20317
25017,124958
25019,1205
25021,44199
25023,40309
25025,148278
25027,92288
26001,1575
26003,1213
26005,14185
26007,4898
26009,3316
26011,3013
26013,992
26015,6377
26017,15804
26019,1989
26021,26719
26023,7310
26025,22931
26027,7576
26029,3181
26031,4595
26033,6485
26035,7895
26037,8933
26039,2073
26041,6227
26043,3523
26045,11524
26047,3506
26049,85696
26051,5211
26053,2859
26055,9575
26057,6792
26059,8982
26061,7406
26063,4486
26065,59468
26067,9084
26069,4395
26071,1749
26073,19390
26075,25464
26077,45473
26079,2875
26081,93489
26083,336
26085,3164
26087,9152
26089,2245
26091,13427
26093,10895
26095,1059
26097,1730
26099,106546
26101,3918
26103,10689
26105,4861
26107,9338
26109,3774
26111,10955
26113,2490
26115,16860
26117,10924
26119,1568
26121,31550
26123,8605
26125,123086
26127,5285
26129,4537
26131,967
26133,5032
26135,1656
26137,3270
26139,27361
26141,1761
26143,4885
26145,34825
26147,23128
26149,10319
26151,6522
26153,1735
26155,9790
26157,8317
26159,14029
26161,51965
26163,440449
26165,5631
27001,1937
27003,25925
27005,4160
27007,8118
27009,5732
27011,719
27013,11745
27015,1887
27017,4727
27019,4172
27021,4656
27023,1454
27025,2889
27027,7202
27029,1451
27031,588
27033,1905
27035,7028
27037,31270
27039,1342
27041,3438
27043,1878
27045,2280
27047,3679
27049,5104
27051,533
27053,146382
27055,2031
27057,2368
27059,2802
27061,6018
27063,1085
27065,2242
27067,4877
27069,474
27071,1937
27073,561
27075,1364
27077,363
27079,2482
27081,524
27083,3456
27085,2866
27087,1350
27089,734
27091,2286
27093,2282
27095,3080
27097,3687
27099,5410
27101,771
27103,3814
27105,3320
27107,846
27109,13237
27111,5635
27113,1286
27115,4015
27117,1182
27119,3987
27121,1011
27123,84589
27125,431
27127,1825
27129,1646
27131,6469
27133,1067
27135,1637
27137,30869
27139,7747
27141,6966
27143,1584
27145,19570
27147,3721
27149,1727
27151,1167
27153,3548
27155,341
27157,1547
27159,2211
27161,1544
27163,13109
27165,1182
27167,627
27169,6933
27171,7846
27173,1175
28001,8898
28003,7752
28005,2852
28007,4908
28009,1764
28011,11900
28013,3763
28015,2086
28017,4493
28019,2147
28021,3685
28023,3460
28025,5302
28027,8420
28029,7629
28031,5162
28033,16338
28035,20179
28037,1464
28039,4154
28041,1566
28043,4733
28045,9807
28047,39569
28049,61498
28051,7860
28053,3508
28055,411
28057,4207
28059,21400
28061,3944
28063,3490
28065,4028
28067,15197
28069,2841
28071,11903
28073,9748
28075,17325
28077,2769
28079,6034
28081,15327
28083,12558
28085,9091
28087,13675
28089,13287
28091,7156
28093,6513
28095,7123
28097,3058
28099,6957
28101,4737
28103,3953
28105,14780
28107,7793
28109,11590
28111,2287
28113,11334
28115,4903
28117,5112
28119,2982
28121,14067
28123,7743
28125,1380
28127,6985
28129,3813
28131,3103
28133,8458
28135,2609
28137,4656
28139,5311
28141,3146
28143,2824
28145,6170
28147,4199
28149,10768
28151,17586
28153,5509
28155,2243
28157,2687
28159,5389
28161,2472
28163,8017
29151,1139
29153,2292
29155,5068
29157,1798
29159,7484
29161,8137
29163,2482
29165,7106
29167,5515
29169,5781
29171,926
29173,1254
29175,4395
29177,3598
29179,1361
29181,3167
29183,23022
29185,2156
29186,2540
29187,11138
29189,106821
29195,3808
29197,914
29199,730
29201,7492
29203,1938
29205,1092
29207,4583
29209,5147
29211,1066
29213,9825
29215,5214
29217,3764
29219,4507
29221,5030
29223,2960
29225,6733
29227,294
29229,4594
29510,83416
29001,6105
29003,1531
29005,693
29007,4401
29009,7072
29011,2910
29013,2996
29015,3540
29017,2654
29019,31824
29021,15456
29023,8942
29025,1186
29027,5865
29029,7516
29031,13626
29033,1273
29035,1319
29037,9805
29039,3381
29041,1213
29043,8879
29045,928
29047,20137
29049,1856
29051,9237
29053,2354
29055,5093
29057,1473
29059,3577
29061,1340
29063,1391
29065,3642
29067,2941
29069,8536
29071,11941
29073,2316
29075,1119
29077,51533
29079,2020
29081,1485
29083,4131
29085,2394
29087,555
29089,1587
29091,9158
29093,2293
29095,119678
29097,19556
29099,23937
29101,8407
29103,823
29105,6816
29107,3706
29109,7052
29111,1215
29113,7980
29115,2196
29117,2273
29119,4876
29121,2895
29123,2238
29125,1721
29127,5020
29129,584
29131,4942
29133,3642
29135,1885
29137,1260
29139,2025
29141,4757
29143,4094
29145,8377
29147,5682
29149,2824
30001,1446
30003,3788
30005,1795
30007,556
30009,1137
30011,141
30013,12212
30015,1341
30017,1298
30019,100
30021,1210
30023,1499
30025,198
30027,1287
30029,12307
30031,12125
30033,96
30035,4447
30037,201
30039,466
30041,3400
30043,1068
30045,281
30047,6509
30049,7803
30051,416
30053,3554
30055,151
30057,820
30059,265
30061,721
30063,17414
30065,774
30067,1918
30069,30
30071,651
30073,1283
30075,155
30077,735
30079,239
30081,7308
30083,1264
30085,3007
30087,1893
30089,2497
30091,373
30093,6771
30095,721
30097,458
30099,723
30101,866
30103,178
30105,885
30107,410
30109,145
30111,17250
31001,3499
31003,811
31005,36
31007,96
31009,106
31011,533
31013,1886
31015,220
31017,499
31019,5978
31021,620
31023,682
31025,1556
31027,864
31029,337
31031,648
31033,1150
31035,580
31037,1374
31039,1071
31041,1200
31043,3528
31045,1428
31047,3618
31049,246
31051,683
31053,4061
31055,76738
31057,151
31059,514
31061,396
31063,305
31065,820
31067,2080
31069,181
31071,193
31073,110
31075,98
31077,243
31079,9092
31081,780
31083,450
31085,68
31087,490
31089,1209
31091,123
31093,658
31095,909
31097,471
31099,408
31101,931
31103,106
31105,496
31107,1117
31109,41796
31111,4488
31113,91
31115,68
31117,64
31119,5119
31121,667
31123,550
31125,490
31127,574
31129,501
31131,1696
31133,446
31135,198
31137,706
31139,417
31141,2728
31143,389
31145,1118
31147,1557
31149,162
31151,1492
31153,10684
31155,2001
31157,4877
31159,1467
31161,857
31163,411
31165,156
31167,701
31169,604
31171,55
31173,2090
31175,540
31177,1880
31179,1115
31181,459
31183,61
31185,1393
32001,3802
32003,315358
32005,4984
32007,5574
32009,194
32011,162
32013,1762
32015,676
32017,631
32019,8482
32021,907
32023,7658
32027,832
32029,293
32031,65248
32033,987
32510,8787
33001,6214
33003,4484
33005,8467
33007,4257
33009,9609
33011,34681
33013,12840
33015,16192
33017,12997
33019,4099
34001,40868
34003,67959
34005,27881
34007,66802
34009,9744
34011,25760
34013,133788
34015,23200
34017,114900
34019,5379
34021,40354
34023,70908
34025,46492
34027,22068
34029,64795
34031,83203
34033,8602
34035,16479
34037,8237
34039,59034
34041,8394
35001,128917
35003,615
35005,14013
35006,7489
35007,2490
35009,10338
35011,454
35013,58846
35015,6237
35017,5940
35019,552
35021,59
35023,1054
35025,9859
35027,3271
35028,1092
35029,7236
35031,27493
35033,1092
35035,14387
35037,1484
35039,9413
35041,4918
35043,19305
35045,24755
35047,8093
35049,22477
35051,2360
35053,4278
35055,7909
35057,4833
35059,498
35061,17604
36081,343834
36083,19186
36085,58470
36087,46118
36089,19494
36091,14583
36093,19028
36095,3936
36097,2595
36099,4081
36101,15888
36103,103269
36105,12868
36107,4801
36109,18547
36111,22290
36113,7685
36115,8004
36117,11541
36119,90752
36121,4425
36123,3446
36001,39349
36003,7285
36005,427574
36007,33615
36009,13954
36011,9010
36013,23894
36015,13044
36017,7741
36019,12163
36021,7067
36023,6675
36025,6799
36027,26229
36029,134715
36031,3894
36033,9213
36035,9100
36037,7748
36039,5813
36041,609
36043,9145
36045,16938
36047,597404
36049,3238
36051,8681
36053,8180
36055,110192
36057,10053
36059,82146
36061,283590
36063,28816
36065,37760
36067,69487
36069,10975
36071,46731
36073,6173
36075,21615
36077,9275
36079,5212
37001,29042
37003,6191
37005,1986
37007,5865
37009,5510
37011,2350
37013,8660
37015,4304
37017,9342
37019,18725
37021,38256
37023,17277
37025,23384
37027,15765
37029,803
37031,10056
37033,4634
37035,23629
37037,9041
37039,5319
37041,3832
37043,2235
37045,19156
37047,12768
37049,15664
37051,54949
37053,2497
37055,2885
37057,25655
37059,5210
37061,15606
37063,49835
37065,14210
37067,69100
37069,9603
37071,36027
37073,1651
37075,1884
37077,8943
37079,4962
37081,86808
37083,13660
37085,22094
37087,10056
37089,14984
37091,5475
37093,11047
37095,890
37097,22803
37099,8139
37101,27086
37103,2173
37105,10533
37107,13401
37109,12243
37111,8897
37113,6401
37115,3616
37117,5007
37119,148326
37121,2910
37123,6716
37125,13808
37127,17141
37129,36717
37131,5658
37133,24916
37135,20236
37137,1674
37139,7256
37141,9925
37143,2626
37145,7708
37147,42743
37149,2790
37151,24770
37153,11465
37155,41538
37157,16968
37159,24194
37161,13077
37163,16050
37165,10504
37167,10356
37169,7826
37171,14195
37173,3409
37175,4017
37177,779
37179,21416
37181,11064
37183,107687
37185,4692
37187,2737
37189,14726
37191,27037
37193,15791
37195,18475
37197,7643
37199,3775
38001,220
38003,841
38005,2260
38007,100
38009,540
38011,234
38013,301
38015,6946
38017,19082
38019,180
38021,400
38023,178
38025,517
38027,311
38029,386
38031,316
38033,177
38035,11223
38037,346
38039,179
38041,217
38043,185
38045,383
38047,151
38049,738
38051,311
38053,1309
38055,1072
38057,693
38059,2270
38061,1226
38063,249
38065,137
38067,454
38069,693
38071,1118
38073,490
38075,186
38077,1633
38079,5054
38081,222
38083,209
38085,1524
38087,68
38089,1866
38091,143
38093,2130
38095,316
38097,804
38099,1112
38101,4919
38103,226
38105,2913
40001,5897
40003,606
40005,2794
40007,492
40009,2777
40011,1293
40013,7816
40015,5976
40017,8995
40019,7262
40021,10426
40023,4297
40025,414
40027,32758
40029,1186
40031,20444
40033,1030
40035,2659
40037,10813
40039,4595
40041,8311
40043,788
40045,595
40047,7852
40049,5038
40051,6690
40053,430
40055,735
40057,481
40059,520
40061,2524
40063,2244
40065,4276
40067,1313
40069,2070
40071,8137
40073,1093
40075,1883
40077,1833
40079,11035
40081,5335
40083,4943
40085,1292
40087,3944
40089,8256
40091,4209
40093,1073
40095,2645
40097,8585
40099,2012
40101,14670
40103,1515
40105,1928
