fips,opioid_death_rate
19047,182.999
19049,72.176
19051,NA
19053,NA
19055,196.226
19057,271.773
19059,231.978
19061,162.882
19063,227.79
19065,184.502
19067,126
19071,NA
19073,321.829
19075,NA
19077,254.118
19079,238.79
19081,NA
19083,238.012
19085,197.894
19087,212.411
19089,NA
19091,221.356
19093,NA
19095,134.878
19097,NA
19099,187.97
19101,127.142
19103,98.262
19105,181.026
19107,NA
19111,326.448
19113,156.545
19115,233.351
19117,312.247
19119,NA
19121,233.468
19123,211.893
19125,153.665
19127,220.778
19129,173.657
19131,204.404
19133,337.154
19135,NA
19137,303.178
19139,165.347
19141,199.715
19143,NA
19145,311.871
19147,254.228
19149,186.508
19151,392.1
19153,148.087
19155,222.265
19157,188.852
19159,513.023
19161,283.516
19163,141.471
19165,169.492
19167,65.906
19169,73.128
19171,161.672
19173,NA
19175,289.855
19177,330.078
19179,311.589
19181,122.759
19183,139.132
19185,NA
19187,144.143
19189,NA
19191,106.999
19193,220.862
19195,264.131
19197,164.332
20001,235.96
20003,255.526
20005,201.465
20009,190.476
20011,191.558
20013,216.853
20015,149.198
20021,266.719
20027,NA
20029,273.224
20031,NA
20035,195.788
20037,173.629
20041,209.82
20043,NA
20045,90.422
20047,NA
20051,131.52
20053,379.267
20055,89.864
20057,126.579
20059,297.34
20061,188.276
20073,341.408
20077,NA
20079,166.127
20085,188.097
20087,227.549
20091,90.341
20095,NA
20099,259.245
20103,169.568
20107,334.798
20111,158.162
20113,156.228
20115,165.125
20117,NA
20121,154.714
20125,180.175
20127,358.873
20131,NA
20133,253.933
20137,400.51
20139,334.533
20141,NA
20143,NA
20145,296.604
20147,NA
20149,143.696
20151,302.588
20155,175.577
20159,NA
20161,87.261
20163,NA
20165,NA
20167,NA
20169,177.723
20171,NA
20173,135.939
20175,NA
20177,225.658
20181,NA
20183,NA
20191,163.286
20193,NA
20201,NA
20205,229.279
20209,133.674
21001,171.162
21003,256.895
21005,311.4
21007,322.821
21009,154.57
21011,340.716
21013,298.706
21015,182.05
21017,279.581
21019,342.807
21021,249.85
21023,273.81
21025,308.642
21027,265.518
21029,189.511
21031,163.488
21033,190.961
21035,158.701
21037,264.611
21039,NA
21041,337.11
21043,255.121
21045,316.156
21047,124.394
21049,273.598
21051,341.905
21053,314.435
21055,304.745
21057,NA
21059,198.648
21061,264.157
21063,276.753
21065,230.656
21067,146.02
21069,420.487
21071,388.036
21073,221.519
21075,NA
21077,383.32
21079,254.453
21081,292.902
21083,190.953
21085,240.605
21087,271.248
21089,312.039
21091,NA
21093,207.798
21095,412.25
21097,289.606
21099,166.425
21101,296.197
21103,233.911
21107,304.984
21109,NA
21111,196.772
21113,234.926
21115,369.919
21117,285.55
21119,263.767
21121,381.86
21123,234.109
21125,187.552
21127,308.895
21129,NA
21131,379.579
21133,267.861
21135,349.65
21137,315.936
21139,291.294
21141,161.697
21143,NA
21145,240.938
21147,239.849
21149,390.501
21151,145.175
21153,307.474
21155,234.314
21157,213.614
21159,324.946
21161,319.953
21163,252.435
21165,NA
21167,279.369
21169,279.497
21171,NA
21173,262.864
21175,203.038
21177,196.597
21179,228.275
21181,338.792
21183,258.43
21185,97.621
21187,234.918
21189,578.936
21191,322.802
21193,358.41
21195,293.948
21197,333.117
21199,211.083
21203,148.368
21205,224.94
21207,406.275
21209,125.991
21211,146.526
21213,182.492
21215,136.806
21217,287.436
21219,NA
21221,238.362
21223,NA
21225,376.344
21227,103.559
21229,188.695
21231,185.792
21233,270.351
21235,301.973
21237,279.369
21239,176.083
22001,113.337
22003,151.846
22005,129.948
22007,158.625
22009,153.221
22011,54.161
22013,274.071
22015,71.396
22017,287.722
22019,123.13
22021,NA
22023,NA
22027,NA
22029,105.422
22031,173.119
22033,108.268
22035,NA
22037,147.335
22039,166.128
22041,167.241
22043,NA
22045,106.451
22047,NA
22049,NA
22051,172.729
22053,108.235
22055,90.307
22057,170.897
22059,NA
22061,106.817
22063,208.366
22067,130.413
22069,324.294
22071,119.542
22073,157.342
22075,123.594
22077,207.591
22079,83.822
22083,NA
22085,83.413
22087,196.988
22089,111.483
22091,275.875
22093,139.166
22095,110.014
22097,137.096
22099,153.684
22101,153.571
22103,138.8
22105,139.24
22109,196.078
22111,NA
22113,99.659
22115,88.987
22117,224.574
22119,219.088
22121,NA
22123,NA
23001,204.996
23003,258.98
23005,151.691
23007,233.326
23009,238.887
23011,213.985
23013,206.32
23015,254.267
23017,304.105
23019,269.423
23021,308.734
23023,181.442
23025,396.74
23027,198.151
23029,435.612
23031,196.696
24001,191.321
24003,121.053
24005,146.325
24009,119.451
24011,225.266
24013,119.888
24015,128.651
24017,99.553
24019,238.7
24021,110.262
24023,122.345
24025,154.164
24027,57.371
24029,187.532
24031,50.198
24033,56.274
24035,177.809
24037,141.224
24039,165.844
24041,209.239
24043,194.288
24045,100.412
24047,184.667
24510,224.35
25001,192.275
25003,163.905
25005,161.197
25007,NA
25009,109.24
25011,153.448
25013,121.033
25015,98.878
25017,84.666
25021,119.338
25023,136.886
25025,90.79
25027,131.651
26001,473.338
26003,379.651
26005,230.207
26007,365.803
26009,229.001
26011,271.128
26013,282.253
26015,192.623
26017,193.8
26019,267.471
26021,270.762
26023,234.877
26025,289.465
26027,244.191
26029,225.415
26031,370.064
26033,222.67
26035,441.399
26037,147.648
26039,349.243
26041,273.466
26043,262.385
26045,205.203
26047,328.491
26049,228.822
26051,314.465
26053,288.657
26055,238.912
26057,148.051
26059,242.496
26061,229.791
26063,276.357
26065,155.181
26067,233.528
26069,319.817
26071,428.763
26073,186.583
26075,283.352
26077,178.48
26079,295.43
26081,133.765
26085,330.55
26087,156.215
26089,211.348
26091,280.192
26093,145.263
26095,487.575
26097,369.686
26099,168.601
26101,250.277
26103,246.858
26105,225.1
26107,208.232
26109,236.244
26111,191.704
26113,218.514
26115,196.37
26117,230.254
26119,348.85
26121,207.603
26123,271.184
26125,121.386
26127,307.373
26129,363.567
26131,473.693
26133,281.264
26135,399.322
26137,257.458
26139,124.004
26141,321.266
26143,506.329
26145,196.021
26147,279.471
26149,226.776
26151,284.962
26153,324.959
26155,212.971
26157,211.856
26159,269.864
26161,99.257
26163,148.682
26165,292.495
27001,487.711
27003,130.363
27005,225.292
27007,167.006
27009,162.533
27011,NA
27013,150.509
27015,153.962
27017,198.668
27019,61.838
27021,224.192
27023,346.163
27025,160.736
27027,149.503
27029,317.209
27031,NA
27033,NA
27035,203.316
27037,110.902
27039,NA
27041,168.197
27043,NA
27045,209.494
27047,124.811
27049,152.112
27051,NA
27053,122.192
27055,111.619
27057,212.376
27059,215.247
27061,212.192
27063,NA
27065,277.953
27067,122.367
27069,NA
27071,253.405
27073,NA
27075,272.941
27077,NA
27079,170.345
27081,NA
27083,147.866
27085,192.512
27087,NA
27091,206.768
27093,237.992
27095,274.492
27097,161.482
27099,158.313
27101,NA
27103,89.352
27105,132.735
27107,638.395
27109,71.194
27111,199.707
27113,252.898
27115,242.433
27117,NA
27119,233.733
27121,NA
27123,127.254
27127,144.139
27129,190.996
27131,153.912
27133,250.941
27135,NA
27137,246.025
27139,86.999
27141,112.266
27143,175.356
27145,108.576
27147,133.134
27151,318.505
27153,198.077
27157,122.221
27159,283.41
27161,185.077
27163,117.337
27165,NA
27167,NA
27169,127.581
27171,105.621
27173,241.57
28001,70.405
28003,NA
28005,176.593
28009,NA
28011,64.148
28015,NA
28023,NA
28025,NA
28027,NA
28029,122.885
28031,NA
28033,49.541
28035,59.227
28039,NA
28041,NA
28045,190.208
28047,36.411
28049,24.873
28057,NA
28059,64.429
28067,30.904
28073,39.4
28075,NA
28077,NA
28081,52.705
28085,66.622
28087,33.556
28089,39.957
28091,NA
28093,NA
28095,55.752
28099,NA
28105,66.221
28107,NA
28109,122.943
28113,NA
28115,NA
28117,126.703
28121,43.933
28127,107.759
28129,220.001
28131,111.037
28133,NA
28137,92.195
28139,NA
28141,112.873
28145,NA
28149,NA
28151,NA
28153,NA
28155,NA
28159,115.639
28163,NA
29001,205.055
29003,190.202
29005,NA
29007,188.309
29009,229.486
29011,NA
29013,182.737
29015,355.645
29017,182.542
29019,133.64
29021,210.259
29023,177.824
29025,NA
29027,246.24
29029,305.639
29031,152.066
29033,258.05
29035,NA
29037,200.301
29039,292.523
29041,NA
29043,164.69
29045,NA
29047,141.372
29049,232.897
29051,167.034
29053,186.314
29055,267.468
29057,301.402
29059,243.191
29061,304.544
29063,301.276
29065,149.477
29067,419.224
29069,212.87
29071,232.404
29073,283.63
29075,345.293
29077,223.077
29079,255.78
29081,374.007
29083,282.486
29085,366.814
29087,NA
29089,258.501
29091,305.894
29093,289.363
29095,160.017
29097,169.59
29099,208.718
29101,148.307
29103,NA
29105,312.764
29107,153.29
29109,237.096
29111,NA
29113,206.271
29115,230.187
29117,203.479
29119,106.101
29121,131.839
29123,281.283
29125,NA
29127,242.265
29129,NA
29131,230.104
29133,347.851
29135,137.345
29137,NA
29139,232.358
29141,430.416
29143,251.186
29145,144.819
29147,NA
29149,240.986
29151,168.326
29153,NA
29155,246.002
29157,202.23
29159,168.195
29161,201.758
29163,200.673
29165,120.03
29167,191.785
29169,170.927
29171,NA
29173,NA
29175,236.104
29177,188.978
29179,NA
29181,188.174
29183,121.765
29185,345.125
29186,171.936
29187,210.125
29189,140.7
29195,230.635
29199,NA
29201,296.812
29203,NA
29207,273.76
29209,299.546
29211,NA
29213,230.2
29215,298.739
29217,231.627
29219,183.421
29221,189.219
29223,342.492
29225,173.201
29229,328.12
29510,206.805
30001,223.38
30003,194.859
30005,NA
30007,NA
30009,296.367
30013,308.238
30015,NA
30017,276.753
30021,NA
30023,264.172
30027,420.573
30029,98.897
30031,68.898
30035,233.679
30041,235.764
30043,NA
30047,204.987
30049,225.915
30053,316.735
30057,265.018
30061,NA
30063,173.943
30065,NA
30067,217.202
30073,NA
30077,NA
30081,220.966
30083,NA
30085,NA
30087,NA
30089,312.121
30093,245.999
30095,NA
30097,NA
30099,NA
30101,NA
30105,291.816
30111,241.736
31001,179.902
31003,NA
31013,214.401
31017,NA
31019,105.299
31021,NA
31023,NA
31025,174.642
31027,NA
31029,NA
31031,NA
31033,NA
31035,NA
31039,NA
31041,185.065
31043,102.614
31045,322.976
31047,156.514
31053,225.807
31055,110.451
31061,NA
31065,NA
31067,289.004
31079,200.956
31081,NA
31089,282.927
31093,NA
31095,NA
31097,NA
31101,336.742
31105,NA
31107,NA
31109,128.538
31111,213.783
31119,197.058
31121,NA
31127,NA
31131,NA
31137,259.011
31139,NA
31141,124.768
31145,242.492
31147,NA
31151,188.403
31153,100.546
31155,171.119
31157,175.718
31159,144.642
31161,NA
31169,NA
31173,322.716
31175,NA
31177,179.585
31185,188.488
32001,152.905
32003,135.967
32005,114.536
32007,95.844
32013,142.501
32015,NA
32017,NA
32019,195.566
32021,NA
32023,352.348
32031,145.057
32033,NA
32510,158.927
33001,190.855
33003,213.58
33005,208.515
33007,290.271
33009,172.127
33011,177.555
33013,216.715
33015,173.124
33017,195.404
33019,267.417
34001,199.269
34003,92.743
34005,127.759
34007,146.232
34009,242.508
34011,186.61
34013,100.262
34015,157.014
34017,86.285
34019,113.093
34021,118.591
34023,93.54
34025,124.472
34027,92.692
34029,191.9
34031,110.051
34033,209.66
34035,87.191
34037,180.323
34039,87.648
34041,155.697
35001,130.142
35005,209.859
35006,149.161
35007,293.806
35009,125.298
35013,78.429
35015,177.019
35017,169.731
35025,129.034
35027,231.613
35028,NA
35029,147.239
35031,58.727
35035,174.285
35037,382.546
35039,187.313
35041,178.178
35043,105.615
35045,122.525
35047,252.161
35049,129.834
